context,answer,question
"Ihre lokalen Rivalen, Polonia Warschau, haben deutlich weniger Anhänger. Dennoch gelang es ihnen, die Ekstraklasa-Meisterschaft im Jahr 2000 zu gewinnen. Sie gewannen auch die Landesmeisterschaft von 1946 und holten zwei Mal den Pokal. Das Heimstadion Polonias befindet sich in der Konwiktorska-Straße, zehn Gehminuten nördlich der Altstadt. Polonia wurde 2013 wegen seiner katastrophalen finanziellen Situation aus der Spitzengruppe des Landes verwiesen. Sie spielen nun in der vierten Liga (5. Rang in Polen) – der untersten Profiliga in der Struktur des Polnischen Fußballverbandes (PZPN).",1946,Wann gewann Polonia Warschau vor 2000 die Landesmeisterschaft?
"Ihre lokalen Rivalen, Polonia Warschau, haben deutlich weniger Anhänger. Dennoch gelang es ihnen, die Ekstraklasa-Meisterschaft im Jahr 2000 zu gewinnen. Sie gewannen auch die Landesmeisterschaft von 1946 und holten zwei Mal den Pokal. Das Heimstadion Polonias befindet sich in der Konwiktorska-Straße, zehn Gehminuten nördlich der Altstadt. Polonia wurde 2013 wegen seiner katastrophalen finanziellen Situation aus der Spitzengruppe des Landes verwiesen. Sie spielen nun in der vierten Liga (5. Rang in Polen) – der untersten Profiliga in der Struktur des Polnischen Fußballverbandes (PZPN).",zwei Mal,Wie oft hat Polonia den Pokal gewonnen?
"Ihre lokalen Rivalen, Polonia Warschau, haben deutlich weniger Anhänger. Dennoch gelang es ihnen, die Ekstraklasa-Meisterschaft im Jahr 2000 zu gewinnen. Sie gewannen auch die Landesmeisterschaft von 1946 und holten zwei Mal den Pokal. Das Heimstadion Polonias befindet sich in der Konwiktorska-Straße, zehn Gehminuten nördlich der Altstadt. Polonia wurde 2013 wegen seiner katastrophalen finanziellen Situation aus der Spitzengruppe des Landes verwiesen. Sie spielen nun in der vierten Liga (5. Rang in Polen) – der untersten Profiliga in der Struktur des Polnischen Fußballverbandes (PZPN).",Konwiktorska-Straße,Wo befindet sich das Heimstadion Polonias?
"Ihre lokalen Rivalen, Polonia Warschau, haben deutlich weniger Anhänger. Dennoch gelang es ihnen, die Ekstraklasa-Meisterschaft im Jahr 2000 zu gewinnen. Sie gewannen auch die Landesmeisterschaft von 1946 und holten zwei Mal den Pokal. Das Heimstadion Polonias befindet sich in der Konwiktorska-Straße, zehn Gehminuten nördlich der Altstadt. Polonia wurde 2013 wegen seiner katastrophalen finanziellen Situation aus der Spitzengruppe des Landes verwiesen. Sie spielen nun in der vierten Liga (5. Rang in Polen) – der untersten Profiliga in der Struktur des Polnischen Fußballverbandes (PZPN).",wegen seiner katastrophalen finanziellen Situation,Warum wurde Polonia 2013 aus der Spitzengruppe des Landes verbannt?
"Warschau war während seiner gesamten Existenz eine multikulturelle Stadt. Laut der Volkszählung von 1901 waren von 711.988 Einwohnern 56,2% Katholiken, 35,7% Juden, 5% griechisch-orthodoxe Christen und 2,8% Protestanten. Acht Jahre später, im Jahr 1909, gab es 281.754 Juden (36,9%), 18.189 Protestanten (2,4%) und 2.818 Mariaviten (0,4%). Dies führte zum Bau von Hunderten von religiösen Kultstätten in allen Teilen der Stadt. Die meisten von ihnen wurden nach dem Warschauer Aufstand von 1944 zerstört. Nach dem Krieg rieten die neuen kommunistischen Behörden Polens vom Kirchenbau ab und nur wenige wurden wiederaufgebaut.",eine multikulturelle Stadt,Welche Art von Stadt ist Warschau schon immer gewesen?
"Warschau war während seiner gesamten Existenz eine multikulturelle Stadt. Laut der Volkszählung von 1901 waren von 711.988 Einwohnern 56,2% Katholiken, 35,7% Juden, 5% griechisch-orthodoxe Christen und 2,8% Protestanten. Acht Jahre später, im Jahr 1909, gab es 281.754 Juden (36,9%), 18.189 Protestanten (2,4%) und 2.818 Mariaviten (0,4%). Dies führte zum Bau von Hunderten von religiösen Kultstätten in allen Teilen der Stadt. Die meisten von ihnen wurden nach dem Warschauer Aufstand von 1944 zerstört. Nach dem Krieg rieten die neuen kommunistischen Behörden Polens vom Kirchenbau ab und nur wenige wurden wiederaufgebaut.",711.988,Wie groß war die Bevölkerung Warschaus im Jahr 1901?
"Warschau war während seiner gesamten Existenz eine multikulturelle Stadt. Laut der Volkszählung von 1901 waren von 711.988 Einwohnern 56,2% Katholiken, 35,7% Juden, 5% griechisch-orthodoxe Christen und 2,8% Protestanten. Acht Jahre später, im Jahr 1909, gab es 281.754 Juden (36,9%), 18.189 Protestanten (2,4%) und 2.818 Mariaviten (0,4%). Dies führte zum Bau von Hunderten von religiösen Kultstätten in allen Teilen der Stadt. Die meisten von ihnen wurden nach dem Warschauer Aufstand von 1944 zerstört. Nach dem Krieg rieten die neuen kommunistischen Behörden Polens vom Kirchenbau ab und nur wenige wurden wiederaufgebaut.","56,2%",Welcher Prozentsatz der Warschauer Bevölkerung war im Jahr 1901 katholisch?
"Warschau war während seiner gesamten Existenz eine multikulturelle Stadt. Laut der Volkszählung von 1901 waren von 711.988 Einwohnern 56,2% Katholiken, 35,7% Juden, 5% griechisch-orthodoxe Christen und 2,8% Protestanten. Acht Jahre später, im Jahr 1909, gab es 281.754 Juden (36,9%), 18.189 Protestanten (2,4%) und 2.818 Mariaviten (0,4%). Dies führte zum Bau von Hunderten von religiösen Kultstätten in allen Teilen der Stadt. Die meisten von ihnen wurden nach dem Warschauer Aufstand von 1944 zerstört. Nach dem Krieg rieten die neuen kommunistischen Behörden Polens vom Kirchenbau ab und nur wenige wurden wiederaufgebaut.","2,8%",Welcher Prozentsatz der Bevölkerung Warschaus war 1901 protestantisch?
"Warschau war während seiner gesamten Existenz eine multikulturelle Stadt. Laut der Volkszählung von 1901 waren von 711.988 Einwohnern 56,2% Katholiken, 35,7% Juden, 5% griechisch-orthodoxe Christen und 2,8% Protestanten. Acht Jahre später, im Jahr 1909, gab es 281.754 Juden (36,9%), 18.189 Protestanten (2,4%) und 2.818 Mariaviten (0,4%). Dies führte zum Bau von Hunderten von religiösen Kultstätten in allen Teilen der Stadt. Die meisten von ihnen wurden nach dem Warschauer Aufstand von 1944 zerstört. Nach dem Krieg rieten die neuen kommunistischen Behörden Polens vom Kirchenbau ab und nur wenige wurden wiederaufgebaut.",1944,Wann wurden die meisten religiösen Kultstätten in Warschau zerstört?
"Die grundlegende Verwaltungseinheit in Polen wird Gemeinde (Gmina) genannt. Eine Stadt ist ebenfalls eine Gemeinde – allerdings besitzt sie ein Stadtrecht. Sowohl Städte als auch Gemeinden werden von einem Bürgermeister regiert – dieser wird in den Gemeinden Vogt (auf Polnisch Wójt) und in den Städten Burmistrz genannt. Einige größere Städte erhalten Anrechte, d.h. Aufgaben und Privilegien, die den Einheiten der zweiten Verwaltungsebene – Landkreise oder Powiaty – gehören. Ein Beispiel für ein solches Anrecht ist die Kfz-Zulassung: Eine Gmina kann keine Autos registrieren, denn dies ist die Aufgabe des Powiat (d.h. eine Kennzeichennummer ist abhängig vom zulassenden Powiat und nicht von der Gmina). Erhält eine Stadt Anrechte, nennt man sie Stadtkreis oder Powiat Grodzki. Solche Städte sind z.B. Lublin, Krakau, Danzig oder Posen. In Warschau haben Bezirke zusätzlich einige Anrechte der Powiaty – wie die bereits erwähnte Kfz-Zulassung. Zum Beispiel besitzen die Bezirke Wola und Ursynów eigene Kennzeichen (und die Autos aus Wola führen andere Kennzeichen als die aus Ursynów). Die Bezirke in Krakau besitzen jedoch beispielsweise keine Powiat-Anrechte. Deshalb sind die Autokennzeichen in Krakau in allen Bezirken vom gleichen Typ.",Gemeinde,Wie heißt die grundlegende Verwaltungseinheit in Polen?
"Die grundlegende Verwaltungseinheit in Polen wird Gemeinde (Gmina) genannt. Eine Stadt ist ebenfalls eine Gemeinde – allerdings besitzt sie ein Stadtrecht. Sowohl Städte als auch Gemeinden werden von einem Bürgermeister regiert – dieser wird in den Gemeinden Vogt (auf Polnisch Wójt) und in den Städten Burmistrz genannt. Einige größere Städte erhalten Anrechte, d.h. Aufgaben und Privilegien, die den Einheiten der zweiten Verwaltungsebene – Landkreise oder Powiaty – gehören. Ein Beispiel für ein solches Anrecht ist die Kfz-Zulassung: Eine Gmina kann keine Autos registrieren, denn dies ist die Aufgabe des Powiat (d.h. eine Kennzeichennummer ist abhängig vom zulassenden Powiat und nicht von der Gmina). Erhält eine Stadt Anrechte, nennt man sie Stadtkreis oder Powiat Grodzki. Solche Städte sind z.B. Lublin, Krakau, Danzig oder Posen. In Warschau haben Bezirke zusätzlich einige Anrechte der Powiaty – wie die bereits erwähnte Kfz-Zulassung. Zum Beispiel besitzen die Bezirke Wola und Ursynów eigene Kennzeichen (und die Autos aus Wola führen andere Kennzeichen als die aus Ursynów). Die Bezirke in Krakau besitzen jedoch beispielsweise keine Powiat-Anrechte. Deshalb sind die Autokennzeichen in Krakau in allen Bezirken vom gleichen Typ.",Landkreise oder Powiaty,Wie heißt die zweite Verwaltungsebene in Polen?
"Die grundlegende Verwaltungseinheit in Polen wird Gemeinde (Gmina) genannt. Eine Stadt ist ebenfalls eine Gemeinde – allerdings besitzt sie ein Stadtrecht. Sowohl Städte als auch Gemeinden werden von einem Bürgermeister regiert – dieser wird in den Gemeinden Vogt (auf Polnisch Wójt) und in den Städten Burmistrz genannt. Einige größere Städte erhalten Anrechte, d.h. Aufgaben und Privilegien, die den Einheiten der zweiten Verwaltungsebene – Landkreise oder Powiaty – gehören. Ein Beispiel für ein solches Anrecht ist die Kfz-Zulassung: Eine Gmina kann keine Autos registrieren, denn dies ist die Aufgabe des Powiat (d.h. eine Kennzeichennummer ist abhängig vom zulassenden Powiat und nicht von der Gmina). Erhält eine Stadt Anrechte, nennt man sie Stadtkreis oder Powiat Grodzki. Solche Städte sind z.B. Lublin, Krakau, Danzig oder Posen. In Warschau haben Bezirke zusätzlich einige Anrechte der Powiaty – wie die bereits erwähnte Kfz-Zulassung. Zum Beispiel besitzen die Bezirke Wola und Ursynów eigene Kennzeichen (und die Autos aus Wola führen andere Kennzeichen als die aus Ursynów). Die Bezirke in Krakau besitzen jedoch beispielsweise keine Powiat-Anrechte. Deshalb sind die Autokennzeichen in Krakau in allen Bezirken vom gleichen Typ.",Krakau,In welchen Bezirken sind die Autokennzeichen alle vom gleichen Typ?
"Die erste Warschauer Börse wurde im Jahr 1817 gegründet und bis zum Zweiten Weltkrieg weitergeführt. Sie wurde im April 1991 nach dem Ende der kommunistischen Kontrolle der Nachkriegszeit und der Wiedereinführung einer freien Marktwirtschaft wiederhergestellt. Heute ist die Warschauer Börse (WSE) laut vielen Indikatoren der größte Markt in der Region, mit 374 börsennotierten Unternehmen und einer Gesamtkapitalisierung von 162 584 Mio. EUR zum 31. August 2009. Von 1991 bis 2000 befand sich die Börse ironischerweise in dem Gebäude, das früher als Sitz der Polnischen Vereinigten Arbeiterpartei (PZPR) diente.",1817,Wann wurde die erste Warschauer Börse gegründet?
"Die erste Warschauer Börse wurde im Jahr 1817 gegründet und bis zum Zweiten Weltkrieg weitergeführt. Sie wurde im April 1991 nach dem Ende der kommunistischen Kontrolle der Nachkriegszeit und der Wiedereinführung einer freien Marktwirtschaft wiederhergestellt. Heute ist die Warschauer Börse (WSE) laut vielen Indikatoren der größte Markt in der Region, mit 374 börsennotierten Unternehmen und einer Gesamtkapitalisierung von 162 584 Mio. EUR zum 31. August 2009. Von 1991 bis 2000 befand sich die Börse ironischerweise in dem Gebäude, das früher als Sitz der Polnischen Vereinigten Arbeiterpartei (PZPR) diente.",Zweiten Weltkrieg,Was brachte die Warschauer Börse zum Stillstand?
"Die erste Warschauer Börse wurde im Jahr 1817 gegründet und bis zum Zweiten Weltkrieg weitergeführt. Sie wurde im April 1991 nach dem Ende der kommunistischen Kontrolle der Nachkriegszeit und der Wiedereinführung einer freien Marktwirtschaft wiederhergestellt. Heute ist die Warschauer Börse (WSE) laut vielen Indikatoren der größte Markt in der Region, mit 374 börsennotierten Unternehmen und einer Gesamtkapitalisierung von 162 584 Mio. EUR zum 31. August 2009. Von 1991 bis 2000 befand sich die Börse ironischerweise in dem Gebäude, das früher als Sitz der Polnischen Vereinigten Arbeiterpartei (PZPR) diente.",im April 1991,Wann wurde die Warschauer Börse wieder zum Leben erweckt?
"Die erste Warschauer Börse wurde im Jahr 1817 gegründet und bis zum Zweiten Weltkrieg weitergeführt. Sie wurde im April 1991 nach dem Ende der kommunistischen Kontrolle der Nachkriegszeit und der Wiedereinführung einer freien Marktwirtschaft wiederhergestellt. Heute ist die Warschauer Börse (WSE) laut vielen Indikatoren der größte Markt in der Region, mit 374 börsennotierten Unternehmen und einer Gesamtkapitalisierung von 162 584 Mio. EUR zum 31. August 2009. Von 1991 bis 2000 befand sich die Börse ironischerweise in dem Gebäude, das früher als Sitz der Polnischen Vereinigten Arbeiterpartei (PZPR) diente.",374,Wie viele Unternehmen waren im August 2009 an der WSE gelistet?
"Die erste Warschauer Börse wurde im Jahr 1817 gegründet und bis zum Zweiten Weltkrieg weitergeführt. Sie wurde im April 1991 nach dem Ende der kommunistischen Kontrolle der Nachkriegszeit und der Wiedereinführung einer freien Marktwirtschaft wiederhergestellt. Heute ist die Warschauer Börse (WSE) laut vielen Indikatoren der größte Markt in der Region, mit 374 börsennotierten Unternehmen und einer Gesamtkapitalisierung von 162 584 Mio. EUR zum 31. August 2009. Von 1991 bis 2000 befand sich die Börse ironischerweise in dem Gebäude, das früher als Sitz der Polnischen Vereinigten Arbeiterpartei (PZPR) diente.",Sitz der Polnischen Vereinigten Arbeiterpartei,In wessen ehemaligem Hauptsitz befand sich die WSE bis 2000?
"Vor der Ankunft von Rollo unterschieden sich die Bevölkerungsgruppen nicht von der Picardie oder der Île-de-France, die als „fränkisch“ galten. Frühere Wikinger-Siedler kamen in den 880er Jahren an, wurden aber zwischen Kolonien im Osten (Roumois und Pays de Caux) um das niedrige Seine-Tal herum und der Halbinsel Cotentin im Westen aufgeteilt und durch traditionelle Pagii getrennt. Dort blieb die Bevölkerung etwa gleich und es gab fast keine ausländischen Siedler. Rollos Truppen, die die Normandie und Teile der Atlantikküste überfielen und schließlich besiedelten, waren Dänen, Norweger, nordische Gaelen, Orkney-Wikinger, möglicherweise Schweden und Anglo-Dänen aus dem englischen Danelag unter nordischer Kontrolle.",Rollo,Wer gab den ursprünglichen Wikingersiedlern bei ihrer Ankunft eine gemeinsame Identität?
"Die beiden bekanntesten normannischen Familien, die im Mittelmeer ankamen, waren die Nachkommen von Tankred von Hauteville und der Familie Drengot. Rainulf Drengot erhielt 1030 von Herzog Sergius IV. von Neapel die Grafschaft Aversa, den ersten normannischen Brückenkopf im Süden. Die Familie Hauteville erlangte fürstlichen Rang, indem sie Prinz Guaimar IV. von Salerno zum „Herzog von Apulien und Kalabrien“ erklärte. Er verlieh seinem gewählten Anführer, Wilhelm Eisenarm, prompt den Titel eines Grafen in seiner Hauptstadt Melfi. Die Familie Drengot erlangte daraufhin das Fürstentum Capua und Kaiser Heinrich III. adelte 1047 den Anührer der Hautevilles, Drogo, offiziell zum „dux et magister Italiae comesque Normannorum totius Apuliae et Calabriae“ („Herzog und Meister von Italien und Graf der Normannen von ganz Apulien und Kalabrien“).",Drogo,"Wie hieß der Anführer, der von Heinrich III. geadelt wurde?"
"Die beiden bekanntesten normannischen Familien, die im Mittelmeer ankamen, waren die Nachkommen von Tankred von Hauteville und der Familie Drengot. Rainulf Drengot erhielt 1030 von Herzog Sergius IV. von Neapel die Grafschaft Aversa, den ersten normannischen Brückenkopf im Süden. Die Familie Hauteville erlangte fürstlichen Rang, indem sie Prinz Guaimar IV. von Salerno zum „Herzog von Apulien und Kalabrien“ erklärte. Er verlieh seinem gewählten Anführer, Wilhelm Eisenarm, prompt den Titel eines Grafen in seiner Hauptstadt Melfi. Die Familie Drengot erlangte daraufhin das Fürstentum Capua und Kaiser Heinrich III. adelte 1047 den Anührer der Hautevilles, Drogo, offiziell zum „dux et magister Italiae comesque Normannorum totius Apuliae et Calabriae“ („Herzog und Meister von Italien und Graf der Normannen von ganz Apulien und Kalabrien“).",Wilhelm Eisenarm,Wer war der Graf von Melfi?
"Bald nachdem die Normannen in Italien einmarschiert waren, drangen sie in das Byzantinische Reich und dann nach Armenien ein und kämpften gegen die Petschenegen, die Bulgaren und vor allem gegen die Seldschuken. Normannische Söldner wurden zunächst von den Langobarden ermutigt, im Süden gegen die Byzantiner zu kämpfen, fanden sich dann aber schnell im byzantinischen Dienst auf Sizilien wieder. Sie nahmen neben den Warägern und Langobarden im sizilianischen Feldzug Georgios Maniakes' in den Jahren 1038-40 teil. Es ist umstritten, ob die Normannen im griechischen Dienst tatsächlich aus dem normannischen Teil Italiens stammten. Tatsächlich scheint es so, als ob nur wenige von dort kamen. Unbekannt ist auch, wie viele der „Franken“, wie die Byzantiner sie nannten, Normannen und nicht andere Franzosen waren.",die Seldschuken,"Wer war der Hauptfeind der Normannen in Italien, dem Byzantinischen Reich und Armenien?"
"Einige Normannen schlossen sich türkischen Streitkräften an, um Hilfe bei der Zerstörung der armenischen Vasallenstaaten Sassoun und Taron im fernen Ostanatolien zu leisten. Später begannen viele, weiter südlich in Kilikien und im Stiergebirge in den Dienst des armenischen Staates zu treten. Ein Normanne namens Oursel führte eine Gruppe von „Franken“ in das obere Euphrattal im Norden Syriens. 8.000 der 20.000 Truppen des armenischen Generals Philaretus Brachamius waren von 1073 bis 1074 Normannen—früher angeführt von Oursel—nun unter dem Kommando Raimbauds. Sie verliehen sogar ihrer Burg den Namen ihrer ethnischen Zugehörigkeit: Afranji lautete ihr Name, was „Franken“ bedeutet. Der berühmte Handel zwischen Amalfi und Antiochia sowie zwischen Bari und Tarsus könnte mit der Anwesenheit von Italo-Normannen in diesen Städten zusammenhängen. Amalfi und Bari standen in Italien unter normannischer Herrschaft.",Afranji,Wie hieß die normannische Burg?
"Einige Normannen schlossen sich türkischen Streitkräften an, um Hilfe bei der Zerstörung der armenischen Vasallenstaaten Sassoun und Taron im fernen Ostanatolien zu leisten. Später begannen viele, weiter südlich in Kilikien und im Stiergebirge in den Dienst des armenischen Staates zu treten. Ein Normanne namens Oursel führte eine Gruppe von „Franken“ in das obere Euphrattal im Norden Syriens. 8.000 der 20.000 Truppen des armenischen Generals Philaretus Brachamius waren von 1073 bis 1074 Normannen—früher angeführt von Oursel—nun unter dem Kommando Raimbauds. Sie verliehen sogar ihrer Burg den Namen ihrer ethnischen Zugehörigkeit: Afranji lautete ihr Name, was „Franken“ bedeutet. Der berühmte Handel zwischen Amalfi und Antiochia sowie zwischen Bari und Tarsus könnte mit der Anwesenheit von Italo-Normannen in diesen Städten zusammenhängen. Amalfi und Bari standen in Italien unter normannischer Herrschaft.",Oursel,"Wer war der Anführer der Normannen, als die Franken das Euphrattal betraten?"
"Einige Normannen schlossen sich türkischen Streitkräften an, um Hilfe bei der Zerstörung der armenischen Vasallenstaaten Sassoun und Taron im fernen Ostanatolien zu leisten. Später begannen viele, weiter südlich in Kilikien und im Stiergebirge in den Dienst des armenischen Staates zu treten. Ein Normanne namens Oursel führte eine Gruppe von „Franken“ in das obere Euphrattal im Norden Syriens. 8.000 der 20.000 Truppen des armenischen Generals Philaretus Brachamius waren von 1073 bis 1074 Normannen—früher angeführt von Oursel—nun unter dem Kommando Raimbauds. Sie verliehen sogar ihrer Burg den Namen ihrer ethnischen Zugehörigkeit: Afranji lautete ihr Name, was „Franken“ bedeutet. Der berühmte Handel zwischen Amalfi und Antiochia sowie zwischen Bari und Tarsus könnte mit der Anwesenheit von Italo-Normannen in diesen Städten zusammenhängen. Amalfi und Bari standen in Italien unter normannischer Herrschaft.",türkischen Streitkräften,Mit wem haben sich die Normannen in Anatolien zusammengetan?
"Zwischen 1402 und 1405 eroberte die Expedition unter der Führung des normannischen Adligen Jean de Béthencourt und dem Poitevin Gadifer de la Salle die Kanarischen Inseln Lanzarote, Fuerteventura und El Hierro vor der Atlantikküste von Afrika. Ihre Truppen wurden in der Normandie und der Gascogne versammelt und später durch kastilische Kolonisten aufgestockt.",Afrika,Vor der Küste welches Kontinents liegen die Kanarischen Inseln?
"Tesla war bekannt für seine wissenschaftlichen Leistungen und seine Selbstdarstellung. Dies brachte ihm in der Populärkultur schließlich den Ruf eines archetypischen „verrückten Wissenschaftlers“ ein. Seine Patente verhalfen ihm zu einem beträchtlichen Betrag an Geld, von dem ein Großteil zur Finanzierung seiner eigenen Projekte mit gemischtem Erfolg verwendet wurde. Bis zu seiner Pensionierung verbrachte er den größten Teil seines Lebens in einer Reihe von New Yorker Hotels. Tesla starb am 7. Januar 1943. Seine Arbeit geriet nach seinem Tod in relative Vergessenheit. 1960 benannte die Generalkonferenz für Maß und Gewicht die SI-Maßeinheit der magnetischen Flussdichte zu Ehren von Tesla nach ihm. Seit den 90er Jahren gibt es ein Wiederaufleben an öffentlichem Interesse an Tesla.",1943,In welchem Jahr starb Tesla?
"Tesla war bekannt für seine wissenschaftlichen Leistungen und seine Selbstdarstellung. Dies brachte ihm in der Populärkultur schließlich den Ruf eines archetypischen „verrückten Wissenschaftlers“ ein. Seine Patente verhalfen ihm zu einem beträchtlichen Betrag an Geld, von dem ein Großteil zur Finanzierung seiner eigenen Projekte mit gemischtem Erfolg verwendet wurde. Bis zu seiner Pensionierung verbrachte er den größten Teil seines Lebens in einer Reihe von New Yorker Hotels. Tesla starb am 7. Januar 1943. Seine Arbeit geriet nach seinem Tod in relative Vergessenheit. 1960 benannte die Generalkonferenz für Maß und Gewicht die SI-Maßeinheit der magnetischen Flussdichte zu Ehren von Tesla nach ihm. Seit den 90er Jahren gibt es ein Wiederaufleben an öffentlichem Interesse an Tesla.",die SI-Maßeinheit der magnetischen Flussdichte,Was wurde zu seinen Ehren „die Tesla-Einheit“ genannt?
"Tesla war bekannt für seine wissenschaftlichen Leistungen und seine Selbstdarstellung. Dies brachte ihm in der Populärkultur schließlich den Ruf eines archetypischen „verrückten Wissenschaftlers“ ein. Seine Patente verhalfen ihm zu einem beträchtlichen Betrag an Geld, von dem ein Großteil zur Finanzierung seiner eigenen Projekte mit gemischtem Erfolg verwendet wurde. Bis zu seiner Pensionierung verbrachte er den größten Teil seines Lebens in einer Reihe von New Yorker Hotels. Tesla starb am 7. Januar 1943. Seine Arbeit geriet nach seinem Tod in relative Vergessenheit. 1960 benannte die Generalkonferenz für Maß und Gewicht die SI-Maßeinheit der magnetischen Flussdichte zu Ehren von Tesla nach ihm. Seit den 90er Jahren gibt es ein Wiederaufleben an öffentlichem Interesse an Tesla.",New Yorker Hotels,Wo lebte Tesla den größten Teil seines Lebens?
"Tesla war bekannt für seine wissenschaftlichen Leistungen und seine Selbstdarstellung. Dies brachte ihm in der Populärkultur schließlich den Ruf eines archetypischen „verrückten Wissenschaftlers“ ein. Seine Patente verhalfen ihm zu einem beträchtlichen Betrag an Geld, von dem ein Großteil zur Finanzierung seiner eigenen Projekte mit gemischtem Erfolg verwendet wurde. Bis zu seiner Pensionierung verbrachte er den größten Teil seines Lebens in einer Reihe von New Yorker Hotels. Tesla starb am 7. Januar 1943. Seine Arbeit geriet nach seinem Tod in relative Vergessenheit. 1960 benannte die Generalkonferenz für Maß und Gewicht die SI-Maßeinheit der magnetischen Flussdichte zu Ehren von Tesla nach ihm. Seit den 90er Jahren gibt es ein Wiederaufleben an öffentlichem Interesse an Tesla.",den Ruf eines archetypischen „verrückten Wissenschaftlers“,Welchen Ruf hatte Tesla in der Populärkultur?
"Tesla war bekannt für seine wissenschaftlichen Leistungen und seine Selbstdarstellung. Dies brachte ihm in der Populärkultur schließlich den Ruf eines archetypischen „verrückten Wissenschaftlers“ ein. Seine Patente verhalfen ihm zu einem beträchtlichen Betrag an Geld, von dem ein Großteil zur Finanzierung seiner eigenen Projekte mit gemischtem Erfolg verwendet wurde. Bis zu seiner Pensionierung verbrachte er den größten Teil seines Lebens in einer Reihe von New Yorker Hotels. Tesla starb am 7. Januar 1943. Seine Arbeit geriet nach seinem Tod in relative Vergessenheit. 1960 benannte die Generalkonferenz für Maß und Gewicht die SI-Maßeinheit der magnetischen Flussdichte zu Ehren von Tesla nach ihm. Seit den 90er Jahren gibt es ein Wiederaufleben an öffentlichem Interesse an Tesla.",Seine Patente,Wie finanzierte Tesla seine Arbeit?
"Tesla war bekannt für seine wissenschaftlichen Leistungen und seine Selbstdarstellung. Dies brachte ihm in der Populärkultur schließlich den Ruf eines archetypischen „verrückten Wissenschaftlers“ ein. Seine Patente verhalfen ihm zu einem beträchtlichen Betrag an Geld, von dem ein Großteil zur Finanzierung seiner eigenen Projekte mit gemischtem Erfolg verwendet wurde. Bis zu seiner Pensionierung verbrachte er den größten Teil seines Lebens in einer Reihe von New Yorker Hotels. Tesla starb am 7. Januar 1943. Seine Arbeit geriet nach seinem Tod in relative Vergessenheit. 1960 benannte die Generalkonferenz für Maß und Gewicht die SI-Maßeinheit der magnetischen Flussdichte zu Ehren von Tesla nach ihm. Seit den 90er Jahren gibt es ein Wiederaufleben an öffentlichem Interesse an Tesla.",1943,In welchem Jahr starb Tesla?
"Tesla war bekannt für seine wissenschaftlichen Leistungen und seine Selbstdarstellung. Dies brachte ihm in der Populärkultur schließlich den Ruf eines archetypischen „verrückten Wissenschaftlers“ ein. Seine Patente verhalfen ihm zu einem beträchtlichen Betrag an Geld, von dem ein Großteil zur Finanzierung seiner eigenen Projekte mit gemischtem Erfolg verwendet wurde. Bis zu seiner Pensionierung verbrachte er den größten Teil seines Lebens in einer Reihe von New Yorker Hotels. Tesla starb am 7. Januar 1943. Seine Arbeit geriet nach seinem Tod in relative Vergessenheit. 1960 benannte die Generalkonferenz für Maß und Gewicht die SI-Maßeinheit der magnetischen Flussdichte zu Ehren von Tesla nach ihm. Seit den 90er Jahren gibt es ein Wiederaufleben an öffentlichem Interesse an Tesla.",die SI-Maßeinheit der magnetischen Flussdichte,Was benannte die Generalkonferenz für Maß und Gewicht 1960 nach Tesla?
"Tesla war bekannt für seine wissenschaftlichen Leistungen und seine Selbstdarstellung. Dies brachte ihm in der Populärkultur schließlich den Ruf eines archetypischen „verrückten Wissenschaftlers“ ein. Seine Patente verhalfen ihm zu einem beträchtlichen Betrag an Geld, von dem ein Großteil zur Finanzierung seiner eigenen Projekte mit gemischtem Erfolg verwendet wurde. Bis zu seiner Pensionierung verbrachte er den größten Teil seines Lebens in einer Reihe von New Yorker Hotels. Tesla starb am 7. Januar 1943. Seine Arbeit geriet nach seinem Tod in relative Vergessenheit. 1960 benannte die Generalkonferenz für Maß und Gewicht die SI-Maßeinheit der magnetischen Flussdichte zu Ehren von Tesla nach ihm. Seit den 90er Jahren gibt es ein Wiederaufleben an öffentlichem Interesse an Tesla.",Seit den 90er Jahren,"Seit wann haben die Menschen wieder damit begonnen, sich für Tesla zu interessieren?"
"Tesla war bekannt für seine wissenschaftlichen Leistungen und seine Selbstdarstellung. Dies brachte ihm in der Populärkultur schließlich den Ruf eines archetypischen „verrückten Wissenschaftlers“ ein. Seine Patente verhalfen ihm zu einem beträchtlichen Betrag an Geld, von dem ein Großteil zur Finanzierung seiner eigenen Projekte mit gemischtem Erfolg verwendet wurde. Bis zu seiner Pensionierung verbrachte er den größten Teil seines Lebens in einer Reihe von New Yorker Hotels. Tesla starb am 7. Januar 1943. Seine Arbeit geriet nach seinem Tod in relative Vergessenheit. 1960 benannte die Generalkonferenz für Maß und Gewicht die SI-Maßeinheit der magnetischen Flussdichte zu Ehren von Tesla nach ihm. Seit den 90er Jahren gibt es ein Wiederaufleben an öffentlichem Interesse an Tesla.",seine Selbstdarstellung,"Wofür war Tesla, abgesehen von seinen wissenschaftlichen Leistungen, berühmt?"
